ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2015,"2015",0,"Total",147305,16944,"Census Tract 170.29, San Diego County, CA","14000US06073017029"
2015,"2015",0,"Total",130597,18397,"Census Tract 170.30, San Diego County, CA","14000US06073017030"
2015,"2015",0,"Total",93406,4694,"Census Tract 170.31, San Diego County, CA","14000US06073017031"
2015,"2015",0,"Total",123449,9180,"Census Tract 170.32, San Diego County, CA","14000US06073017032"
2015,"2015",0,"Total",122885,7919.999999999999,"Census Tract 170.33, San Diego County, CA","14000US06073017033"
2015,"2015",0,"Total",101892,8838,"Census Tract 170.34, San Diego County, CA","14000US06073017034"
2015,"2015",0,"Total",84500,14712.000000000002,"Census Tract 170.35, San Diego County, CA","14000US06073017035"
2015,"2015",0,"Total",81667,12251,"Census Tract 170.36, San Diego County, CA","14000US06073017036"
2015,"2015",0,"Total",91098,19615,"Census Tract 170.37, San Diego County, CA","14000US06073017037"
2015,"2015",0,"Total",99288,6430,"Census Tract 170.39, San Diego County, CA","14000US06073017039"
2015,"2015",0,"Total",83350,11692,"Census Tract 170.40, San Diego County, CA","14000US06073017040"
2015,"2015",0,"Total",103566,22322,"Census Tract 170.41, San Diego County, CA","14000US06073017041"
2015,"2015",0,"Total",123626,5247,"Census Tract 170.42, San Diego County, CA","14000US06073017042"
2015,"2015",0,"Total",109167,18859,"Census Tract 170.43, San Diego County, CA","14000US06073017043"
2015,"2015",0,"Total",126055,20259,"Census Tract 170.44, San Diego County, CA","14000US06073017044"
2015,"2015",0,"Total",160694,21728,"Census Tract 170.45, San Diego County, CA","14000US06073017045"
2015,"2015",0,"Total",134625,17201,"Census Tract 170.46, San Diego County, CA","14000US06073017046"
2015,"2015",0,"Total",130676,7656,"Census Tract 170.47, San Diego County, CA","14000US06073017047"
2015,"2015",0,"Total",70492,10510,"Census Tract 170.48, San Diego County, CA","14000US06073017048"
2015,"2015",0,"Total",83316,8741,"Census Tract 170.49, San Diego County, CA","14000US06073017049"
2015,"2015",0,"Total",74464,16624,"Census Tract 170.50, San Diego County, CA","14000US06073017050"
2015,"2015",0,"Total",78167,22885,"Census Tract 170.51, San Diego County, CA","14000US06073017051"
2015,"2015",0,"Total",90083,19833,"Census Tract 170.52, San Diego County, CA","14000US06073017052"
2015,"2015",0,"Total",143393,24062,"Census Tract 170.53, San Diego County, CA","14000US06073017053"
2015,"2015",0,"Total",109563,19648,"Census Tract 170.54, San Diego County, CA","14000US06073017054"
2015,"2015",0,"Total",111944,7567,"Census Tract 170.55, San Diego County, CA","14000US06073017055"
