Latitude,Longitude,year,T.Plastic,T.Takeout,T.Smoke,T.Fishing,T.bags,T.Dist.M,T.Adults,T.People,T.Kg,N.cleanupAttempts,T.StdEffort,stdzdTotalPlastic,stdzdtakeout,stdzdsmoke,stdzdBags,stdzdFish
32.6848,-117.1205,2020,0,0,0,0,0,1,1,1,13.61,1,2,0,0,0,0,0
32.6851,-117.1871,2020,53,41,9,2,4,801,1,4,2.13,1,3208,0.01652119701,0.01278054863,0.002805486284,0.001246882793,0.0006234413965
32.6852,-117.1217,2019,0,0,0,0,0,4,47,47,4.99,4,235,0,0,0,0,0
32.6852,-117.1213,2020,8,0,5,0,0,1,1,1,9.19,1,2,4,0,2.5,0,0
32.6853,-117.1217,2020,8,4,1,0,0,1,1,1,0.55,1,2,4,2,0.5,0,0
32.6854,-117.122,2019,0,0,0,0,0,1,1,1,0.23,1,2,0,0,0,0,0
32.6854,-117.122,2020,11,5,1,0,1,1,6,6,0.41,1,12,0.9166666667,0.4166666667,0.08333333333,0.08333333333,0
32.6854,-117.1219,2020,33,12,10,0,3,3,35,35,19.93,3,140,0.2357142857,0.08571428571,0.07142857143,0.02142857143,0
32.6854,-117.1216,2017,0,0,0,0,0,2,11,11,1.81,2,33,0,0,0,0,0
32.6854,-117.1216,2018,0,0,0,0,0,1,10,10,0.91,1,20,0,0,0,0,0
32.6855,-117.186,2018,374,233,95,4,17,201,59,59,9.08,1,11918,0.03138110421,0.01955026011,0.007971136097,0.001426413828,0.000335626783
32.6867,-117.1202,2017,143,133,6,0,23,821,1,1,2.1,1,822,0.1739659367,0.1618004866,0.007299270073,0.02798053528,0
32.687,-117.1203,2017,81,50,10,12,6,281,1,1,4.55,1,282,0.2872340426,0.1773049645,0.03546099291,0.02127659574,0.04255319149
32.6871,-117.2044,2019,15,12,1,1,1,351,2,2,0.48,1,704,0.02130681818,0.01704545455,0.001420454545,0.001420454545,0.001420454545
32.6872,-117.2084,2020,38,27,2,1,9,1,1,1,2.53,1,2,19,13.5,1,4.5,0.5
32.6878,-117.1785,2019,30,13,15,0,1,31,2,2,0.55,1,64,0.46875,0.203125,0.234375,0.015625,0
