latitude,longitude,year,N.cleanupAttempts,total_plastic,total_plasticbags,totalFishingLine,total_takeout,total_smoke
32.7486,-117.1663,2019,4,4,3,0,1,0
32.7486,-117.1662,2018,5,5,0,0,4,0
32.7486,-117.1662,2019,9,9,0,0,3,6
32.7486,-117.1661,2019,3,3,0,0,3,0
32.7486,-117.1658,2019,2,2,1,0,0,1
32.7486,-117.1657,2018,7,8,0,0,8,0
32.7486,-117.1657,2019,5,5,0,0,5,0
32.7486,-117.1655,2018,2,2,0,0,2,0
32.7486,-117.1654,2018,2,2,0,0,1,1
32.7487,-117.2535,2016,1,1,0,0,1,0
32.7487,-117.253,2020,5,5,0,0,3,2
32.7487,-117.2529,2020,6,6,0,0,6,0
32.7487,-117.2526,2020,1,2,0,0,2,0
32.7487,-117.252,2020,1,1,0,0,1,0
32.7487,-117.237,2020,1,1,0,0,1,0
32.7487,-117.1675,2019,1,1,0,0,1,0
32.7487,-117.1674,2019,4,4,0,0,2,2
32.7487,-117.1669,2018,2,3,0,0,3,0
32.7487,-117.1669,2019,2,2,0,0,1,0
32.7487,-117.1668,2018,3,5,1,0,4,0
32.7487,-117.1667,2018,12,13,2,0,10,1
32.7487,-117.1666,2019,1,1,1,0,0,0
32.7487,-117.1662,2018,4,8,0,0,0,8
32.7487,-117.1661,2018,3,5,0,0,0,5
32.7487,-117.1661,2019,1,1,0,0,0,1
32.7487,-117.166,2018,6,7,0,0,7,0
32.7487,-117.166,2019,1,1,0,0,0,1
32.7487,-117.1659,2019,4,5,0,0,1,4
32.7487,-117.1658,2019,1,1,1,0,0,0
32.7487,-117.1656,2018,2,2,0,0,2,0
32.7488,-117.253,2020,7,8,0,0,8,0
32.7488,-117.2529,2018,1,1,0,0,0,0
32.7488,-117.2529,2020,7,7,0,0,5,2
32.7488,-117.2527,2020,1,6,0,0,5,0
32.7488,-117.2526,2020,2,3,0,0,2,0
32.7488,-117.2369,2020,2,5,0,0,5,0
32.7488,-117.2358,2020,1,2,0,0,0,2
32.7488,-117.2267,2020,1,29,0,0,29,0
32.7488,-117.1675,2018,4,7,1,0,6,0
32.7488,-117.1674,2018,1,1,0,0,1,0
32.7488,-117.1674,2019,10,10,0,0,6,0
32.7488,-117.1667,2018,11,13,0,0,7,6
32.7488,-117.1667,2019,1,1,1,0,0,0
32.7488,-117.1662,2018,8,17,0,0,0,17
32.7488,-117.1661,2019,5,5,0,0,3,2
32.7488,-117.166,2018,4,4,0,0,4,0
32.7488,-117.166,2019,3,3,0,0,0,3
32.7489,-117.2531,2018,1,1,0,0,1,0
32.7489,-117.253,2018,1,2,0,0,1,1
32.7489,-117.2529,2020,11,11,0,0,6,5
32.7489,-117.2528,2020,2,3,0,0,2,1
32.7489,-117.2525,2020,1,2,0,0,2,0
32.7489,-117.2523,2020,2,33,0,0,3,30
32.7489,-117.2522,2020,2,15,0,0,15,0
32.7489,-117.2521,2020,1,54,0,0,54,0
32.7489,-117.252,2020,1,6,0,0,0,0
32.7489,-117.2512,2020,1,2,0,0,1,1
32.7489,-117.2368,2020,1,3,0,0,3,0
32.7489,-117.2367,2020,1,1,0,0,1,0
32.7489,-117.1675,2018,1,1,0,0,0,1
32.7489,-117.1674,2018,6,8,0,0,1,7
32.7489,-117.1674,2019,1,1,0,0,1,0
32.7489,-117.1673,2019,10,10,1,0,4,3
32.7489,-117.1672,2019,4,7,0,0,7,0
32.7489,-117.1671,2018,2,2,0,0,2,0
32.7489,-117.1671,2019,2,2,0,0,0,2
32.7489,-117.167,2018,4,5,0,0,1,4
32.7489,-117.1669,2018,1,1,0,0,0,1
32.7489,-117.1668,2018,1,1,0,0,1,0
32.7489,-117.1668,2019,1,2,0,0,2,0
32.7489,-117.1667,2018,13,36,0,0,36,0
32.7489,-117.1667,2019,9,9,0,0,3,6
32.7489,-117.1665,2019,2,2,0,0,0,0
32.7489,-117.1663,2018,1,1,0,0,0,1
32.7489,-117.1662,2018,2,9,0,0,0,9
32.7489,-117.1661,2019,1,1,1,0,0,0
32.749,-117.2531,2018,1,1,1,0,0,0
32.749,-117.2529,2020,13,14,0,0,13,1
32.749,-117.2528,2020,2,2,0,0,1,1
32.749,-117.2523,2020,1,2,2,0,0,0
32.749,-117.2522,2020,1,3,0,0,3,0
32.749,-117.252,2020,1,1,0,0,1,0
32.749,-117.2512,2020,2,16,0,0,11,1
32.749,-117.2357,2020,1,1,0,0,0,1
32.749,-117.2356,2020,1,4,0,0,4,0
32.749,-117.1674,2018,1,1,0,0,1,0
32.749,-117.1674,2019,3,3,0,0,0,3
32.749,-117.1673,2018,1,1,0,0,1,0
32.749,-117.1673,2019,4,4,0,0,1,3
32.749,-117.1672,2018,2,3,0,0,3,0
32.749,-117.1671,2019,2,3,0,0,0,3
32.749,-117.167,2018,3,3,2,0,1,0
32.749,-117.167,2019,1,1,0,0,1,0
32.749,-117.1669,2018,4,4,0,0,0,3
32.749,-117.1669,2019,2,2,0,0,2,0
32.749,-117.1668,2018,2,3,0,0,3,0
32.749,-117.1668,2019,3,3,0,0,3,0
32.749,-117.1667,2018,1,2,0,0,2,0
32.749,-117.1667,2019,7,8,0,0,6,2
32.749,-117.1666,2019,3,4,0,0,4,0
32.749,-117.1665,2019,1,1,0,0,1,0
32.749,-117.1664,2019,5,6,0,0,4,2
32.749,-117.1663,2019,6,10,0,0,0,10
32.7491,-117.2532,2020,1,1,0,0,0,0
32.7491,-117.2529,2020,10,10,0,0,5,5
32.7491,-117.2528,2020,13,14,0,0,6,8
32.7491,-117.2523,2020,1,1,0,0,1,0
32.7491,-117.2511,2020,1,4,0,0,4,0
